timestamp,nav_state,failure
266740469,14,0
267254566,14,0
267764461,14,0
268264473,14,0
268774308,14,0
269284333,14,0
269834337,14,0
270344340,14,0
270844394,14,0
271354320,14,0
271864340,14,0
272414341,14,0
272924356,14,0
273424395,14,0
273934351,14,0
274444549,14,0
274994586,14,0
275504363,14,0
276004507,14,0
276514585,14,0
277024323,14,0
277524361,14,0
278034345,14,0
278534372,14,0
279044377,14,0
279554360,14,0
280104542,14,0
280614602,14,0
281164333,14,0
281674511,14,0
282184596,14,0
282734577,14,0
283244641,14,0
283750280,14,0
284254512,14,0
284762225,14,0
285264584,14,0
285774572,14,0
286280339,14,0
286784361,14,0
287292200,14,0
287794349,14,0
288304561,14,0
288810248,14,0
289314538,14,0
289822199,14,0
290324345,14,0
290834406,14,0
291334514,14,0
291844388,14,0
292352260,14,0
292854534,14,0
293364391,14,0
293870297,14,0
294374591,14,0
294882280,14,0
295384317,14,0
295894374,14,0
296394583,14,0
296904529,14,0
297412250,14,0
297914541,14,0
298424514,14,0
298930247,14,0
299434316,14,0
299942239,14,0
300444564,14,0
300954456,14,0
301460292,14,0
301964346,14,0
302472198,14,0
302974392,14,0
303484585,14,0
303990284,14,0
304494327,14,0
305002199,14,0
305504336,14,0
306014394,14,0
306514527,14,0
307024323,14,0
307532228,14,0
308034530,14,0
308544586,14,0
309050397,14,0
309554614,14,0
310062199,14,0
310564345,14,0
311074566,14,0
311580244,14,0
312084531,14,0
312592278,14,0
313094545,14,0
313604406,14,0
314104573,14,0
314614520,14,0
315122275,14,0
315624507,14,0
316134469,14,0
316640304,14,0
317144568,14,0
317652199,14,0
318154532,14,0
318664557,14,0
319170246,14,0
319674327,14,0
320182199,14,0
320684605,14,0
321194589,14,0
321700247,14,0
322204539,14,0
322712226,14,0
323214371,14,0
323724559,14,0
324230294,14,0
324734405,14,0
325242200,14,0
325744311,14,0
326254444,14,0
326754515,14,0
327264389,14,0
327772218,14,0
328274518,14,0
328784611,14,0
329290245,14,0
329794543,14,0
330302304,14,0
330804507,14,0
331314377,14,0
331814429,14,0
332324529,14,0
332832217,14,0
333334318,14,0
333844631,14,0
334350250,14,0
334854532,14,0
335362199,14,0
335864606,14,0
336374463,14,0
336880255,14,0
337384528,14,0
337892226,14,0
338394394,14,0
338904560,14,0
339410303,14,0
339914364,14,0
340422198,14,0
340924506,14,0
341434578,14,0
341940247,14,0
342444372,14,0
342952199,14,0
343454542,14,0
343964398,14,0
344470357,14,0
344974400,14,0
345482233,14,0
345984371,14,0
346494569,14,0
347000309,14,0
347504527,14,0
348012285,14,0
348514360,14,0
349024590,14,0
349530247,14,0
350034318,14,0
350542200,14,0
351044538,14,0
351554665,14,0
352060245,14,0
352564349,14,0
353072263,14,0
353574326,14,0
354084581,14,0
354590299,14,0
355094427,14,0
355602201,14,0
356104400,14,0
356614623,14,0
357120273,14,0
357624508,14,0
358132199,14,0
358634569,14,0
359144396,14,0
359644514,14,0
360154590,14,0
360662227,14,0
361164511,14,0
361674572,14,0
362180393,14,0
362684642,14,0
363192199,14,0
363694516,14,0
364204579,14,0
364704582,14,0
365214540,14,0
365722297,14,0
366224386,14,0
366734431,14,0
367234600,14,0
367744339,14,0
368252245,14,0
368754327,14,0
369264693,14,0
369770292,14,0
370274676,14,0
370782211,14,0
371284538,14,0
371794403,14,0
372294514,14,0
372804312,14,0
373312199,14,0
373814604,14,0
374324590,14,0
374830247,14,0
375334320,14,0
375842226,14,0
376344512,14,0
376854604,14,0
377360303,14,0
377864578,14,0
378372200,14,0
378874510,14,0
379384596,14,0
379890344,14,0
380394447,14,0
380902218,14,0
381404566,14,0
381914595,14,0
382420246,14,0
382924310,14,0
383432304,14,0
383934509,14,0
384444587,14,0
384944608,14,0
385454538,14,0
385962199,14,0
386464540,14,0
386974670,14,0
387480290,14,0
387984385,14,0
388492198,14,0
388994362,14,0
389504392,14,0
390010248,14,0
390514512,14,0
391022263,14,0
391524597,14,0
392034372,14,0
392534535,14,0
393044347,14,0
393552199,14,0
394054507,14,0
394564398,14,0
395070277,14,0
395574556,14,0
396082201,14,0
396584542,14,0
397094403,14,0
397594541,14,0
398104447,14,0
398612227,14,0
399114510,14,0
399624444,14,0
400124541,14,0
400634376,14,0
401142278,14,0
401644507,14,0
402154588,14,0
402660246,14,0
403164506,14,0
403672199,14,0
404174544,14,0
404684544,14,0
405190277,14,0
405694511,14,0
406202226,14,0
406704324,14,0
407214602,14,0
407720292,14,0
408224535,14,0
408732199,14,0
409234605,14,0
409744561,14,0
410250287,14,0
410754512,14,0
411262199,14,0
411764335,14,0
412274724,14,0
412780286,14,0
413284559,14,0
413792225,14,0
414294534,14,0
414804573,14,0
415310364,14,0
415814629,14,0
416322198,14,0
416824549,14,0
417334566,14,0
417840280,14,0
418344321,14,0
418852280,14,0
419354569,14,0
419864399,14,0
420364578,14,0
420874329,14,0
421382228,14,0
421884350,14,0
422394648,14,0
422900329,14,0
423404372,14,0
423912207,14,0
424414516,14,0
424924575,14,0
425430247,14,0
425934531,14,0
426442219,14,0
426944619,14,0
427454434,14,0
427960285,14,0
428464529,14,0
428972271,14,0
429474340,14,0
429984612,14,0
430490293,14,0
430994577,14,0
431502200,14,0
432004328,14,0
432514441,14,0
433020369,14,0
433524593,14,0
434032215,14,0
434534533,14,0
435044652,14,0
435550248,14,0
436054370,14,0
436562304,14,0
437064331,14,0
437574618,14,0
438080356,14,0
438584533,14,0
439092198,14,0
439594529,14,0
440104681,14,0
440610246,14,0
441114542,14,0
441622198,14,0
442124366,14,0
442634454,14,0
443140282,14,0
443644505,14,0
444152231,14,0
444654403,14,0
445164562,14,0
445670293,14,0
446174437,14,0
446682199,14,0
447184506,14,0
447694613,14,0
448200269,14,0
448704509,14,0
449212199,14,0
449714343,14,0
450224403,14,0
450730342,14,0
451234586,14,0
451742227,14,0
452244546,14,0
452754590,14,0
453260341,14,0
453764531,14,0
454272296,14,0
454774324,14,0
455284507,14,0
455790246,14,0
456294345,14,0
456802199,14,0
457304535,14,0
457814530,14,0
458314550,14,0
458824539,14,0
459332242,14,0
459834512,14,0
460344584,14,0
460850301,14,0
461354574,14,0
461862199,14,0
462364390,14,0
462874387,14,0
463380334,14,0
463884520,14,0
464392215,14,0
464894343,14,0
465404644,14,0
465910260,14,0
466414344,14,0
466922259,14,0
467424331,14,0
467934570,14,0
468434585,14,0
468944452,14,0
469452215,14,0
469954507,14,0
470464392,14,0
470964514,14,0
471474557,14,0
471982280,14,0
472484574,14,0
472994638,14,0
473500249,14,0
474004314,14,0
474512226,14,0
475014533,14,0
475524477,14,0
476030293,14,0
476534555,14,0
477042198,14,0
477544540,14,0
478054660,14,0
478560268,14,0
479064532,14,0
479572199,14,0
480074438,14,0
480584399,14,0
481084540,14,0
481594331,14,0
482102226,14,0
482604510,14,0
483114580,14,0
483620297,14,0
484124350,14,0
484632200,14,0
485134320,14,0
485644570,14,0
486150343,14,0
486654581,14,0
487162198,14,0
487664380,14,0
488174405,14,0
488674519,14,0
489184311,14,0
489692337,14,0
490194575,14,0
490704403,14,0
491204429,14,0
491714387,14,0
492222199,14,0
492724347,14,0
493234654,14,0
493740316,14,0
494244355,14,0
494752200,14,0
495254351,14,0
495764599,14,0
496270246,14,0
496774335,14,0
497282310,14,0
497784597,14,0
498294610,14,0
498800346,14,0
499304361,14,0
499812199,14,0
500314529,14,0
500824406,14,0
501324574,14,0
501834332,14,0
502342198,14,0
502844564,14,0
503354398,14,0
503860343,14,0
504364390,14,0
504872264,14,0
505374517,14,0
505884399,14,0
506384550,14,0
506894353,14,0
507402281,14,0
507904380,14,0
508414447,14,0
508914632,14,0
509424324,14,0
509932214,14,0
510434540,14,0
510944518,14,0
511444583,14,0
511954318,14,0
512462226,14,0
512964330,14,0
513474594,14,0
513980293,14,0
514484523,14,0
514992198,14,0
515494399,14,0
516004384,14,0
516510320,14,0
517014583,14,0
517522235,14,0
518024523,14,0
518534617,14,0
519040290,14,0
519544512,14,0
520052230,14,0
520554321,14,0
521064383,14,0
521564535,14,0
522074620,14,0
522582201,14,0
523084542,14,0
523594397,14,0
524094522,14,0
524604507,14,0
525112278,14,0
525614364,14,0
526124438,14,0
526630308,14,0
527134320,14,0
527642226,14,0
528144535,14,0
528313543,18,0
528830295,18,0
529334380,18,0
529842201,18,0
530344334,18,0
530854588,18,0
531360281,18,0
531864529,18,0
532372208,18,0
532874570,18,0
533043636,14,0
533544569,14,0
